"Местное время в Ульяновске / Центральном (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.10.2022 16:00";"2.2";"760.0";"";"";"55";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.10.2022 13:00";"2.0";"760.0";"";"";"56";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.10.2022 10:00";"1.1";"759.0";"";"";"57";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"-0.8";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.10.2022 07:00";"0.4";"757.0";"";"";"85";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"0.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"26.10.2022 04:00";"1.4";"756.0";"";"";"85";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.10.2022 01:00";"1.7";"755.0";"";"";"76";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2022 22:00";"1.8";"754.0";"";"";"82";"Ветер, дующий с северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2022 19:00";"1.9";"753.0";"";"";"81";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"4.2";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"25.10.2022 16:00";"3.3";"752.0";"";"";"77";"Ветер, дующий с северо-запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2022 13:00";"3.4";"751.0";"";"";"74";"Ветер, дующий с северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2022 10:00";"1.2";"750.0";"";"";"90";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2022 07:00";"-1.0";"749.0";"";"";"98";"Ветер, дующий с северо-запада";"2";"";"";"";"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ";"";"";"-2.6";"";"";"";"";"";"";"0.5";"";"Следы осадков";"12";"";"";"";"";
"25.10.2022 04:00";"-1.4";"748.0";"";"";"93";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.10.2022 01:00";"4.3";"747.0";"";"";"86";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2022 22:00";"6.4";"745.0";"";"";"95";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2022 19:00";"6.3";"745.0";"";"";"95";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"6.5";"";"";"";"";"";"10.0";"";"0.8";"12";"";"";"";"";
"24.10.2022 16:00";"6.1";"745.0";"";"";"89";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2022 13:00";"5.9";"746.0";"";"";"83";"Ветер, дующий с юга";"4";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2022 10:00";"5.1";"748.0";"";"";"80";"Ветер, дующий с юга";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2022 07:00";"3.6";"749.0";"";"";"87";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"2.6";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"24.10.2022 04:00";"3.7";"750.0";"";"";"77";"Ветер, дующий с юга";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.10.2022 01:00";"3.4";"752.0";"";"";"80";"Ветер, дующий с юга";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2022 22:00";"2.8";"754.0";"";"";"82";"Ветер, дующий с юга";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2022 19:00";"3.9";"755.0";"";"";"77";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"5.1";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"23.10.2022 16:00";"4.3";"755.0";"";"";"78";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2022 13:00";"4.8";"756.0";"";"";"75";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2022 10:00";"2.8";"757.0";"";"";"77";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2022 07:00";"1.2";"757.0";"";"";"79";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-0.5";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"23.10.2022 04:00";"1.5";"757.0";"";"";"71";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.10.2022 01:00";"0.8";"757.0";"";"";"75";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2022 22:00";"0.2";"757.0";"";"";"73";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2022 19:00";"0.5";"757.0";"";"";"66";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"5.6";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"22.10.2022 16:00";"5.3";"756.0";"";"";"41";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2022 13:00";"4.8";"757.0";"";"";"47";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2022 10:00";"0.8";"756.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"-4.4";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2022 07:00";"-2.2";"755.0";"";"";"90";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"-3.2";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"22.10.2022 04:00";"-1.0";"753.0";"";"";"93";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.10.2022 01:00";"1.8";"752.0";"";"";"81";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2022 22:00";"1.9";"752.0";"";"";"80";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2022 19:00";"2.9";"751.0";"";"";"74";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"3.1";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"21.10.2022 16:00";"2.6";"750.0";"";"";"73";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
